size,msg,repetition,time
100,1,86,27631511
100,1,87,25743326
100,1,88,29885978
100,1,89,57250650
100,1,90,48271479
100,1,91,27867597
100,1,92,29165820
100,1,93,31533757
100,1,94,29063154
100,1,95,46872269
100,1,96,230624262
100,1,97,67425948
100,1,98,33648284
100,1,99,42214416
100,10,0,463862608
100,10,1,440050547
100,10,2,425592225
100,10,3,432056991
100,10,4,358801818
100,10,5,385428324
100,10,6,431349506
100,10,7,510798796
100,10,8,332284762
100,10,9,373417486
100,10,10,374727285
100,10,11,345442747
100,10,12,512470250
100,10,13,447789354
100,10,14,457227050
100,10,15,349423746
100,10,16,481738268
100,10,17,335336252
100,10,18,307290690
100,10,19,335278948
100,10,20,481162551
100,10,21,399437368
100,10,22,442284239
100,10,23,468713934
100,10,24,470179559
100,10,25,374706273
100,10,26,380210433
100,10,27,410362409
100,10,28,368619125
100,10,29,316358530
100,10,30,640153711
100,10,31,445697920
100,10,32,331617493
100,10,33,382736773
100,10,34,288424784
100,10,35,395275020
100,10,36,362682636
100,10,37,393604395
100,10,38,432702312
100,10,39,390632132
100,10,40,406619495
100,10,41,386305071
100,10,42,341655924
100,10,43,407146537
100,10,44,428922505
100,10,45,310057288
100,10,46,342468834
100,10,47,334787906
100,10,48,440858855
100,10,49,386716355
100,10,50,577455824
100,10,51,420472583
100,10,52,372517796
100,10,53,419421705
100,10,54,410425099
100,10,55,525262841
100,10,56,345739897
100,10,57,368151597
100,10,58,389852579
100,10,59,412231496
100,10,60,448302389
100,10,61,435769715
100,10,62,462581588
100,10,63,428442944
100,10,64,455140024
100,10,65,410581212
100,10,66,374383167
100,10,67,392293482
100,10,68,555085219
100,10,69,454122856
100,10,70,484485210
100,10,71,1005561890
100,10,72,1553825793
100,10,73,799383009
100,10,74,625972784
100,10,75,500392851
100,10,76,510144952
100,10,77,440830223
100,10,78,375973381
100,10,79,513786116
100,10,80,505219873
100,10,81,504097625
100,10,82,362642186
100,10,83,369868944
100,10,84,379721331
100,10,85,371652851
100,10,86,469689614
100,10,87,437781253
100,10,88,310946779
100,10,89,476055247
100,10,90,432130109
100,10,91,516225293
100,10,92,342776296
100,10,93,484431096
100,10,94,373920463
100,10,95,333533059
100,10,96,423261686
100,10,97,442383112
100,10,98,358819363
100,10,99,334996913
100,25,0,946709270
100,25,1,937919311
100,25,2,876018504
100,25,3,1080846120
100,25,4,1051301030
100,25,5,986649719
100,25,6,1000263481
100,25,7,978589838
100,25,8,1007610554
100,25,9,1200125153
100,25,10,1089898500
100,25,11,1075513374
100,25,12,859320535
100,25,13,959052861
100,25,14,891308091
100,25,15,1162263850
100,25,16,936046535
100,25,17,835625976
100,25,18,972240012
100,25,19,992494115
100,25,20,840465568
100,25,21,1014340364
100,25,22,1081906239
100,25,23,875806551
100,25,24,1013193817
100,25,25,975689243
100,25,26,1182370301
100,25,27,1097103749
100,25,28,966257636
100,25,29,952132106
100,25,30,901595940
100,25,31,1222086400
100,25,32,991392895
100,25,33,1041277789
100,25,34,1090376807
100,25,35,1237604787
100,25,36,986159229
100,25,37,1162078781
100,25,38,1046472909
100,25,39,1131102251
100,25,40,855498838
100,25,41,1066420065
100,25,42,943804551
100,25,43,985490806
100,25,44,1347314391
100,25,45,1065553066
100,25,46,1182862495
100,25,47,990569373
100,25,48,963930335
100,25,49,906404726
100,25,50,1035456925
100,25,51,1046895843
100,25,52,988143945
100,25,53,973509902
100,25,54,1204952422
100,25,55,941995247
100,25,56,997286060
100,25,57,966868621
100,25,58,936285579
100,25,59,1045917133
100,25,60,1034091557
100,25,61,1066055840
100,25,62,1089649701
100,25,63,1203980260
100,25,64,929481121
100,25,65,931096528
100,25,66,1060296893
100,25,67,989153552
100,25,68,912479252
100,25,69,861667801
100,25,70,907833438
100,25,71,1323636195
100,25,72,1381474942
100,25,73,2622721005
100,25,74,1521066182
100,25,75,1334491997
100,25,76,1193816596
100,25,77,1360588339
100,25,78,1283721255
100,25,79,1254872364
100,25,80,1259619785
100,25,81,1253983816
100,25,82,1170402839
100,25,83,1324950606
100,25,84,1138960692
100,25,85,1013173005
100,25,86,1047406320
100,25,87,1273953710
100,25,88,1974000919
100,25,89,1224617200
100,25,90,1353636599
100,25,91,1396949283
100,25,92,1407234252
100,25,93,1148700387
100,25,94,1189306926
100,25,95,1316363554
100,25,96,1214909616
100,25,97,1063716082
100,25,98,1233103205
100,25,99,1260261454
100,50,0,2686995439
100,50,1,2215142313
100,50,2,2373758126
100,50,3,2255659653
100,50,4,2337306259
100,50,5,2770683561
100,50,6,3021918463
100,50,7,2189974015
100,50,8,2029049264
100,50,9,2248554171
100,50,10,2201081828
100,50,11,2010806431
100,50,12,2040107370
100,50,13,1926018617
100,50,14,2186268393
100,50,15,2046148160
100,50,16,2116874467
100,50,17,1986204820
100,50,18,2090069914
100,50,19,1707428714
100,50,20,1893273495
100,50,21,1892018662
100,50,22,2017317199
100,50,23,2158595461
100,50,24,2016729499
100,50,25,2022143960
100,50,26,2034545038
100,50,27,1605247910
100,50,28,1946121220
100,50,29,2043854089
100,50,30,1812391207
100,50,31,1891351254
100,50,32,1801409714
100,50,33,2121670039
100,50,34,2148806311
100,50,35,1912764345
100,50,36,2170702977
100,50,37,2244108750
100,50,38,2705750742
100,50,39,3325939847
100,50,40,4453492596
100,50,41,3822235145
100,50,42,4148404531
100,50,43,3303506305
100,50,44,3728503816
100,50,45,3867796301
100,50,46,4350054286
100,50,47,3923220216
100,50,48,4379389288
100,50,49,4771110745
100,50,50,3861151653
100,50,51,3351561772
100,50,52,4678912268
100,50,53,4534309888
100,50,54,3255259028
100,50,55,1804244012
100,50,56,1883921989
100,50,57,2017590652
100,50,58,1863867610
100,50,59,1816671841
100,50,60,1819410811
100,50,61,1826326139
100,50,62,1985733774
100,50,63,1812415133
100,50,64,1742003781
100,50,65,1872109414
100,50,66,1900620192
100,50,67,1625589579
100,50,68,2932575077
100,50,69,1804192626
100,50,70,2002572507
100,50,71,1852109413
100,50,72,1775391835
100,50,73,1766575636
100,50,74,1868854191
100,50,75,1754796996
100,50,76,2042463349
100,50,77,1952533762
100,50,78,1984212622
100,50,79,2045999330
100,50,80,2008530607
100,50,81,1810305045
100,50,82,1912092079
100,50,83,1753810355
100,50,84,1759225553
100,50,85,1805848990
100,50,86,2084273133
100,50,87,1927072366
100,50,88,2129306892
100,50,89,1925928387
100,50,90,2051068262
100,50,91,2107429813
100,50,92,2186675384
100,50,93,1935357915
100,50,94,1977990821
100,50,95,2053228110
100,50,96,1991069826
100,50,97,2024245394
100,50,98,2376384853
100,50,99,1936709785
100,100,0,4307199161
100,100,1,3767522241
100,100,2,3914479031
100,100,3,3806435833
100,100,4,4202654875
100,100,5,4111055883
100,100,6,4423545521
